Taxa	stoolMeans	stoolSDs	swabMeans	swabSDs	Origin p-value	Time p-value	Individual p-value	Origin (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
OTU177859	1.89544306623253	0.865	1.8862798140592	1.886	0.77	0.388	<2e-16	0.891151003167899	0.8643	NA	0.001	0.582
OTU1021043	0.24623502632915	0.403	0.16669108170944	0.167	0.0723	0.826	0.001	0.214164324324324	0.965970711297071	0.00126517571884984	0.011	0.2
OTU370046	0.289776991009168	0.493	0.36385790491871	0.364	0.0953	0.457	<2e-16	0.255376039119804	0.87244925124792	NA	0.006	0.608
OTU196211	0.185186264863683	0.329	0.255515225006868	0.256	0.0834	0.258	3.01e-05	0.236192248062015	0.790053333333333	4.62e-05	0.013	0.259
OTU185286	0.481792588885307	0.884	0.482325048813728	0.482	0.413	0.00587	<2e-16	0.651292086330935	0.596605454545455	NA	0.007	0.815
OTU527041	0.30907474102782	0.39	0.408236738138857	0.408	0.0324	0.736	0.000268	0.122873356401384	0.944539071347678	0.000360979591836735	0.016	0.227
OTU4345850	0.659265656362039	1.105	0.618950380992315	0.619	0.755	0.906	<2e-16	0.885005347593583	0.980549854791868	NA	0	0.741
OTU192698	0.605890448357844	0.962	0.512779428473397	0.513	0.148	0.687	<2e-16	0.337933333333333	0.922582639714625	NA	0.002	0.748
OTU183973	0.913563039417488	1.028	0.890362957045014	0.89	0.43	0.21	<2e-16	0.669431818181818	0.748783950617284	NA	0.002	0.769
OTU192696	0.954803210312189	0.786	1.06519239156044	1.065	0.193	0.221	9.22e-14	0.407568400770713	0.755590214067278	8.90517073170732e-13	0.007	0.454
OTU185759	0.169418529468395	0.315	0.137926134770331	0.138	0.258	0.797	6.2e-08	0.487531034482759	0.961527777777778	1.364e-07	0.004	0.327
OTU42372	1.05312801578133	1.119	1.11930877440046	1.119	0.48	0.352	<2e-16	0.711880920162382	0.861689956331878	NA	0.002	0.615
OTU4362300	0.500900371535097	0.777	0.417289828889955	0.417	0.102	0.269	<2e-16	0.266806682577566	0.795613756613757	NA	0.004	0.76
OTU741701	0.307351471091988	0.482	1.06325820318049	1.063	2.7e-11	0.457	2.29e-05	1.096e-09	0.87244925124792	3.55623529411765e-05	0.139	0.355
